1;172705;3.865;108.875;964.149,960.284
2;31409;2.242;107.315;942.931,940.689
3;200110;9.865;101.584;877.786,867.921
4;32430;3.149;66.826;826.699,823.550
5;30644;90.222;496.278;902.334,812.112
6;59689;1.918;73.773;806.266,804.348
7;286095;56.715;455.788;854.860,798.145
8;12167;32.462;431.335;830.209,797.747
9;180463;2.923;67.124;800.071,797.148
10;48290;47.927;445.733;843.538,795.611
11;235046;75.335;472.320;869.305,793.970
12;21460;3.445;114.975;793.897,790.452
13;262737;4.974;79.519;795.260,790.286
14;158585;3.168;81.896;786.902,783.734
15;986;33.053;422.076;811.098,778.045
16;12157;2.229;73.979;777.966,775.737
17;115415;21.164;407.284;793.404,772.240
18;274502;1.991;60.207;770.591,768.600
19;164469;35.820;418.276;800.732,764.912
20;299333;1.844;52.621;765.980,764.136
21;167454;1.594;53.262;765.392,763.798
22;294090;1.527;67.179;764.793,763.266
23;224254;1.717;41.404;764.737,763.020
24;25792;22.589;104.470;782.940,760.351
25;105810;3.102;70.449;763.385,760.283
26;125473;72.009;451.653;831.296,759.287
27;192568;210.726;590.012;969.298,758.572
28;290146;81.183;458.188;835.193,754.010
29;245861;90.010;466.727;843.443,753.433
30;41318;120.329;496.107;871.886,751.557
31;75007;98.822;474.419;850.016,751.194
32;297439;23.700;398.618;773.537,749.837
33;132093;12.698;142.448;759.916,747.218
34;169512;3.651;111.817;748.313,744.662
35;142350;64.982;435.844;806.707,741.725
36;39164;2.439;60.369;739.394,736.955
37;209123;2.205;72.142;739.141,736.936
38;172652;106.244;470.161;834.079,727.835
39;181963;2.651;47.952;728.742,726.091
40;18605;4.004;71.671;729.921,725.917
41;74144;97.219;458.805;820.391,723.172
42;110567;73.784;434.692;795.600,721.816
43;127819;92.439;453.042;813.645,721.206
44;113502;3.010;78.970;723.513,720.503
45;233969;3.794;66.190;723.768,719.974
46;226944;2.379;51.935;722.147,719.768
47;73697;3.826;65.228;723.130,719.304
48;147623;59.085;418.019;776.952,717.867
49;165538;91.411;450.187;808.963,717.552
50;95796;11.419;116.052;728.732,717.313
